date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:32:28	162/162	---MC-	404	error ('Not%20Found')	text/html	date:Sat,%2027%20Aug%202022%2017:32:01%20GMT	https://www.saac.gov.cn/robots.txt		(from )
01:32:28	8574/8574	U--MC-	200	updated ('OK')	text/html	date:Sat,%2027%20Aug%202022%2017:32:01%20GMT	https://www.saac.gov.cn/zt/mzd.htm	D:/%e5%8a%b3%e5%8a%a8%e4%ba%ba%e6%b0%91%e6%96%87%e5%8c%96%e5%ae%ab/%e5%b7%a5%e4%ba%ba%e5%9b%be%e4%b9%a6%e9%a6%86/3%e6%af%9b%e6%b3%bd%e4%b8%9c%e9%80%89%e9%9b%86/%e6%af%9b%e6%b3%bd%e4%b8%9c%e6%89%8b%e7%a8%bf%e5%9b%be%20%e4%b8%ad%e5%a4%ae%e6%a1%a3%e6%a1%88%e9%a6%86%e7%bd%91%e7%ab%99/%e6%a1%a3%e6%a1%88%e5%9b%be/web/html/mzd.html	(from )
01:32:28	37393/37393	---M--	200	added ('OK')	image/jpeg	etag:%225b8ec874-9211%22	https://www.saac.gov.cn/zt/images/shouji_01.jpg	D:/%e5%8a%b3%e5%8a%a8%e4%ba%ba%e6%b0%91%e6%96%87%e5%8c%96%e5%ae%ab/%e5%b7%a5%e4%ba%ba%e5%9b%be%e4%b9%a6%e9%a6%86/3%e6%af%9b%e6%b3%bd%e4%b8%9c%e9%80%89%e9%9b%86/%e6%af%9b%e6%b3%bd%e4%b8%9c%e6%89%8b%e7%a8%bf%e5%9b%be%20%e4%b8%ad%e5%a4%ae%e6%a1%a3%e6%a1%88%e9%a6%86%e7%bd%91%e7%ab%99/%e6%a1%a3%e6%a1%88%e5%9b%be/web/jpg/shouji_01.jpg	(from https://www.saac.gov.cn/zt/mzd.htm)
01:32:28	40999/40999	URF---	200	untouched ('OK%20(cached)')	image/jpeg		https://www.saac.gov.cn/zt/images/shouji_02.jpg	D:/%e5%8a%b3%e5%8a%a8%e4%ba%ba%e6%b0%91%e6%96%87%e5%8c%96%e5%ae%ab/%e5%b7%a5%e4%ba%ba%e5%9b%be%e4%b9%a6%e9%a6%86/3%e6%af%9b%e6%b3%bd%e4%b8%9c%e9%80%89%e9%9b%86/%e6%af%9b%e6%b3%bd%e4%b8%9c%e6%89%8b%e7%a8%bf%e5%9b%be%20%e4%b8%ad%e5%a4%ae%e6%a1%a3%e6%a1%88%e9%a6%86%e7%bd%91%e7%ab%99/%e6%a1%a3%e6%a1%88%e5%9b%be/web/jpg/shouji_02.jpg	(from https://www.saac.gov.cn/zt/mzd.htm)
01:32:28	39841/39841	URF---	200	untouched ('OK%20(cached)')	image/jpeg		https://www.saac.gov.cn/zt/images/shouji_03.jpg	D:/%e5%8a%b3%e5%8a%a8%e4%ba%ba%e6%b0%91%e6%96%87%e5%8c%96%e5%ae%ab/%e5%b7%a5%e4%ba%ba%e5%9b%be%e4%b9%a6%e9%a6%86/3%e6%af%9b%e6%b3%bd%e4%b8%9c%e9%80%89%e9%9b%86/%e6%af%9b%e6%b3%bd%e4%b8%9c%e6%89%8b%e7%a8%bf%e5%9b%be%20%e4%b8%ad%e5%a4%ae%e6%a1%a3%e6%a1%88%e9%a6%86%e7%bd%91%e7%ab%99/%e6%a1%a3%e6%a1%88%e5%9b%be/web/jpg/shouji_03.jpg	(from https://www.saac.gov.cn/zt/mzd.htm)
01:32:29	8952/8952	---M--	200	added ('OK')	image/jpeg	etag:%225b8ec872-22f8%22	https://www.saac.gov.cn/zt/images/shouji_04.jpg	D:/%e5%8a%b3%e5%8a%a8%e4%ba%ba%e6%b0%91%e6%96%87%e5%8c%96%e5%ae%ab/%e5%b7%a5%e4%ba%ba%e5%9b%be%e4%b9%a6%e9%a6%86/3%e6%af%9b%e6%b3%bd%e4%b8%9c%e9%80%89%e9%9b%86/%e6%af%9b%e6%b3%bd%e4%b8%9c%e6%89%8b%e7%a8%bf%e5%9b%be%20%e4%b8%ad%e5%a4%ae%e6%a1%a3%e6%a1%88%e9%a6%86%e7%bd%91%e7%ab%99/%e6%a1%a3%e6%a1%88%e5%9b%be/web/jpg/shouji_04.jpg	(from https://www.saac.gov.cn/zt/mzd.htm)
01:32:29	39496/39496	URF---	200	untouched ('OK%20(cached)')	image/jpeg		https://www.saac.gov.cn/zt/images/shouji_05.jpg	D:/%e5%8a%b3%e5%8a%a8%e4%ba%ba%e6%b0%91%e6%96%87%e5%8c%96%e5%ae%ab/%e5%b7%a5%e4%ba%ba%e5%9b%be%e4%b9%a6%e9%a6%86/3%e6%af%9b%e6%b3%bd%e4%b8%9c%e9%80%89%e9%9b%86/%e6%af%9b%e6%b3%bd%e4%b8%9c%e6%89%8b%e7%a8%bf%e5%9b%be%20%e4%b8%ad%e5%a4%ae%e6%a1%a3%e6%a1%88%e9%a6%86%e7%bd%91%e7%ab%99/%e6%a1%a3%e6%a1%88%e5%9b%be/web/jpg/shouji_05.jpg	(from https://www.saac.gov.cn/zt/mzd.htm)
01:32:29	37459/37459	---M--	200	added ('OK')	image/jpeg	etag:%225b8ec886-9253%22	https://www.saac.gov.cn/zt/images/shouji_06.jpg	D:/%e5%8a%b3%e5%8a%a8%e4%ba%ba%e6%b0%91%e6%96%87%e5%8c%96%e5%ae%ab/%e5%b7%a5%e4%ba%ba%e5%9b%be%e4%b9%a6%e9%a6%86/3%e6%af%9b%e6%b3%bd%e4%b8%9c%e9%80%89%e9%9b%86/%e6%af%9b%e6%b3%bd%e4%b8%9c%e6%89%8b%e7%a8%bf%e5%9b%be%20%e4%b8%ad%e5%a4%ae%e6%a1%a3%e6%a1%88%e9%a6%86%e7%bd%91%e7%ab%99/%e6%a1%a3%e6%a1%88%e5%9b%be/web/jpg/shouji_06.jpg	(from https://www.saac.gov.cn/zt/mzd.htm)
01:32:30	33718/33718	URF---	200	untouched ('OK%20(cached)')	image/jpeg		https://www.saac.gov.cn/zt/images/shouji_07.jpg	D:/%e5%8a%b3%e5%8a%a8%e4%ba%ba%e6%b0%91%e6%96%87%e5%8c%96%e5%ae%ab/%e5%b7%a5%e4%ba%ba%e5%9b%be%e4%b9%a6%e9%a6%86/3%e6%af%9b%e6%b3%bd%e4%b8%9c%e9%80%89%e9%9b%86/%e6%af%9b%e6%b3%bd%e4%b8%9c%e6%89%8b%e7%a8%bf%e5%9b%be%20%e4%b8%ad%e5%a4%ae%e6%a1%a3%e6%a1%88%e9%a6%86%e7%bd%91%e7%ab%99/%e6%a1%a3%e6%a1%88%e5%9b%be/web/jpg/shouji_07.jpg	(from https://www.saac.gov.cn/zt/mzd.htm)
01:32:31	7132/7132	---M--	200	added ('OK')	image/jpeg	etag:%225b8ec880-1bdc%22	https://www.saac.gov.cn/zt/images/shouji_08.jpg	D:/%e5%8a%b3%e5%8a%a8%e4%ba%ba%e6%b0%91%e6%96%87%e5%8c%96%e5%ae%ab/%e5%b7%a5%e4%ba%ba%e5%9b%be%e4%b9%a6%e9%a6%86/3%e6%af%9b%e6%b3%bd%e4%b8%9c%e9%80%89%e9%9b%86/%e6%af%9b%e6%b3%bd%e4%b8%9c%e6%89%8b%e7%a8%bf%e5%9b%be%20%e4%b8%ad%e5%a4%ae%e6%a1%a3%e6%a1%88%e9%a6%86%e7%bd%91%e7%ab%99/%e6%a1%a3%e6%a1%88%e5%9b%be/web/jpg/shouji_08.jpg	(from https://www.saac.gov.cn/zt/mzd.htm)
01:32:31	29256/29256	URF---	200	untouched ('OK%20(cached)')	image/jpeg		https://www.saac.gov.cn/zt/images/shouji_09.jpg	D:/%e5%8a%b3%e5%8a%a8%e4%ba%ba%e6%b0%91%e6%96%87%e5%8c%96%e5%ae%ab/%e5%b7%a5%e4%ba%ba%e5%9b%be%e4%b9%a6%e9%a6%86/3%e6%af%9b%e6%b3%bd%e4%b8%9c%e9%80%89%e9%9b%86/%e6%af%9b%e6%b3%bd%e4%b8%9c%e6%89%8b%e7%a8%bf%e5%9b%be%20%e4%b8%ad%e5%a4%ae%e6%a1%a3%e6%a1%88%e9%a6%86%e7%bd%91%e7%ab%99/%e6%a1%a3%e6%a1%88%e5%9b%be/web/jpg/shouji_09.jpg	(from https://www.saac.gov.cn/zt/mzd.htm)
01:32:31	344/344	---M--	200	added ('OK')	image/jpeg	etag:%225b8ec876-158%22	https://www.saac.gov.cn/zt/images/shouji_bg.jpg	D:/%e5%8a%b3%e5%8a%a8%e4%ba%ba%e6%b0%91%e6%96%87%e5%8c%96%e5%ae%ab/%e5%b7%a5%e4%ba%ba%e5%9b%be%e4%b9%a6%e9%a6%86/3%e6%af%9b%e6%b3%bd%e4%b8%9c%e9%80%89%e9%9b%86/%e6%af%9b%e6%b3%bd%e4%b8%9c%e6%89%8b%e7%a8%bf%e5%9b%be%20%e4%b8%ad%e5%a4%ae%e6%a1%a3%e6%a1%88%e9%a6%86%e7%bd%91%e7%ab%99/%e6%a1%a3%e6%a1%88%e5%9b%be/web/jpg/shouji_bg.jpg	(from https://www.saac.gov.cn/zt/mzd.htm)
01:32:32	18580/18580	URF---	200	untouched ('OK%20(cached)')	image/jpeg		https://www.saac.gov.cn/zt/images/shouji_12.jpg	D:/%e5%8a%b3%e5%8a%a8%e4%ba%ba%e6%b0%91%e6%96%87%e5%8c%96%e5%ae%ab/%e5%b7%a5%e4%ba%ba%e5%9b%be%e4%b9%a6%e9%a6%86/3%e6%af%9b%e6%b3%bd%e4%b8%9c%e9%80%89%e9%9b%86/%e6%af%9b%e6%b3%bd%e4%b8%9c%e6%89%8b%e7%a8%bf%e5%9b%be%20%e4%b8%ad%e5%a4%ae%e6%a1%a3%e6%a1%88%e9%a6%86%e7%bd%91%e7%ab%99/%e6%a1%a3%e6%a1%88%e5%9b%be/web/jpg/shouji_12.jpg	(from https://www.saac.gov.cn/zt/mzd.htm)
